Москва́ [마스끄바] Moscow
о́фис [오피스] office
нача́льник [나찰니끄] manager
колле́га [깔례가] 동료
догово́р [다가보르] 계약
стаже́р [스따쥐예르] 인턴
резюме́ [례쥬몌] 인턴
бесе́да [볘셰다] 대화
собесе́дование [사볘셰다바니예] 면접
прое́кт [쁘라예끄뜨] 프로젝트
гра́фик [그라피끄] 스케쥴
переры́в [뼤례릐브] 휴식
выходно́й [븨하드나이] 휴일
пра́здник [쁘라즈드니끄] 휴일
принима́ть [쁘리니맛] accept
предприя́тие [쁘례드쁘리야띠예] 기업
про́шлое [쁘로쉴라예] 과거
настоя́щий [나스따야시이이] 현재
бу́дущее [부두시예예] 미래
календа́рь [깔롄다르] 달력
напи́ток [나삐따끄] 음료
сыр [싀르] 치즈
ры́ба [릐바] 생선
соль [살] 소금
ма́сло [마슬라] oil
сли́вочный [슬리바츠늬이] 크림
сла́дкий [슬라드끼이] 달다.
пиро́г [삐로그] 파이
шокола́д [쉬아깔라드] 초콜릿
моро́женое [마로쥐예나예] 아이스크림
моро́женый [마로쥐예늬이] frozen
голова́ [갈라바] head
во́лос [볼라스] hair
лицо́ [리쪼] face
глаз [글라즈] eye
желу́док [쥐옐루다끄] 위
лека́рство [례까르스뜨바] 약
роди́тели [라디뗼리] 부모
взро́слый [브즈로슬릐이] adult
на́ция [나찌야] nation
наро́д [나로드] 민족
род [라드] 족
этни́ческий [에뜨니쳬스끼이] ethnic
аэропо́рт [아에라뽀르뜨] airport
кора́бль [까라블] 배
паро́м [빠롬] 페리 여객선
мотоци́кл [마따찌끌] 오토바이
тролле́йбус [뜨랄례이부스] 트롤리버스
грузови́к [그루자비끄] 트럭
ми́кро [미끄라] 마이크로
остано́вка [아스따노브까] 정류장
пассажи́р [빠싸쥐이르] 승객
доли́на [달리나] 골짜기
луг [루그] 초원
ра́дость [라다스뜨] 기쁨
го́рдость [고르다스뜨] 자부심
уве́ренность [우볘롄나스뜨] 자부심
ску́ка [스꾸까] 지루함
ве́жливость [볘쥘리바스뜨] 예의
че́стность [쳬스뜨나스뜨] 정직
честь [쳬스뜨] honor
ще́дрость [시예드라스뜨] 관대함
доброта́ [다브라따] 친절
лень [롄] 게으름
эгои́зм [에가이즘] 이기주의
сме́лость [스몔라스뜨] 용기
конте́йнер [깐뗴이녜르] 컨테이너
трус [뜨루스] 겁쟁이
терпе́ние [뗴르뼤니예] 인내
планше́т [쁠란쉬예뜨] 테블릿
при́нтер [쁘린뗴르] 프린터
клавиату́ра [끌라비아뚜라] keyboard
мышь [믜쉬] 마우스
кры́са [끄릐사] rat
телеви́зор [뗼례비자르] 텔레비전
ра́дио [라디아] 라디오
нау́шник [나우쉬니끄] 이어폰
шепта́ть [쉬예쁘땃] 속삭이다.
заря́дка [자랴드까] 충전기
аккумуля́тор [아끄꾸물랴따르]
              베터리 (accumulator)
про́вод [쁘로바드] 케이블
приложе́ние [쁘릴라쥐예니예] 어플리케이션
файл [파일] 파일
сигна́л [시그날] 신호
пе́рец [뼤례쯔] 후추
понеде́льник [빠녜뎰닉] 월요일
вто́рник [브또르니끄] 화요일
среда́ [스례다] 수요일
четве́рг [쳬뜨볘르그] 목요일
пя́тница [뺘뜨니짜] 금요일
суббо́та [수브보따] 토요일
воскресе́нье [바스끄례셴예] 일요일
оде́жда [아뎨쥐다] 옷
пла́тье [쁠랏예] 드레스
руба́шка [루바쉬까] 셔츠
футбо́лка [푸뜨볼까] 티셔츠
брю́ки [브류끼] 바지
о́бувь [오붑] 신발
боти́нки [바띠나끄] 부츠
ту́фли [뚜플리] 구두
кроссо́вки [끄라싸브끼] 운동화
ша́пка [쉬아쁘까] 모자
реме́нь [례몐] 벨트
каранда́ш [까란다쉬] 연필
пода́рок [빠다라끄] 선물
игру́шка [이그루쉬까] toy
соба́ка [사바까] 개
ко́шка [꼬쉬까] 고양이
газе́та [가졔따] 신문
наза́д [나자드] back
назва́ть [나즈밧] to name
усло́вие [우슬로비예] 조건, 상태
по́мощь [뽀마시] help
за́пад [자빠드] 서쪽
Приднестро́вье [쁘리두녜스뜨롭예] 트란스니스트리아
и́мя [이먀] 이름 name
назва́ние [나즈바니예] 이름 name
звание [즈바니예] 계급 rank
назвать [나즈밧] 이름을 짓다.
звать [즈밧] 초대하다.
обновля́ть [아브나블럇] 업데이트
обновле́ние [아브나블례니예] 업데이트
обнови́ть [아브나빗] 갱신하다. renew
обновля́ть [아브나블럇] 갱신하다. renew
отмени́ть [아뜨몌닛] cancel
отме́на [아뜨몌나] 취소
монито́р [마니또르] 모니터 monitor
экра́н [에끄란] 스크린
экрани́ровать [에끄라닐라밧] 차단벽을 세우다.
клавиату́ра [끌라비아뚜라] 키보드
беспроводно́й [볘스쁘라바드노이] 무선
ка́бель [까볠] cable
ска́нер [스까녜르] 스캐너
удо́бный [우도브늬이] 편리한 convenient
по́льзование [뽈자바니예] 사용
испо́льзование [이스뽈자바니예] 사용
употребле́ние [우빠뜨례블례니예] 사용
реше́ние [례쉬예니예] 해결 solution
разреше́ние [라즈례쉬예니예] 해상도 resolution
резолю́ция [례잘류찌야] 해상도 resolution
графи́ческий [그라피쳬스끼이] graphic
тя́га [땨그라] 드래그
тяну́ть [땨눗] 드래그하다.
тащи́ть [따시잇] 드래그하다.
перетащи́ть [뼤례따시잇] 드래그하다.
сохраня́ть [사흐라냣] save
сохрани́ть [사흐라닛] save
храни́ть [흐라닛] save
ссы́лка [쓀까] link
отре́зать [아뜨례잣] 끊다.
отде́льный [아뜨뎰늬이] 분리하다.
разделе́ние [라즈뎰례니예] 분리
деление [뎰례니예] 구분
по́дпись [뽀드삐스] 서명 signature
графика [그라피까] 그래픽
графи́ческий [그라피쳬스끼이] 그래픽의
видеока́рта [비뎨오까르따] 그래픽 카드
ви́део [비뎨오] 동영상 video
проце́ссор [쁘라쪠싸르] CPU
вода́ [바다] 물 water
водяно́й [바댜노이] 물의
во́дный [보드늬이] 물의
ма́рка [마르까] 마크 mark
отме́тка [아뜨몟까] 마크 mark
знак [즈낙] 마크 mark
ха́кер [하꼐르] 해커
взлома́ть [브즐라맛] 해킹하다.
взлом [브즐람] 해킹, 침입
вторже́ние [브따르쥐예니예] 침입
наше́ствие [나쉬예스뜨비예] 침입
ше́ствие [쉬예스뜨비예] 행진
вторга́ться [브따르갓샤] 침입하다.
ви́рус [비루스] 바이러스
антите́ло [안띠뗼로] 항체 antibody
антиге́н [안띠곈] 항원 antigen
насле́дственность
[나슬례드스뜨볜나스뜨] 유전
насле́дство [나슬례드스뜨바] 상속 재산
сле́дствие [슬례드스뜨비예] 조사
иссле́довать [이스슬례다밧] 연구하다.
иссле́дование [이스슬례다바니예] 연구
сле́довать [슬례다밧] follow
сле́дующий [슬례두유시이이] 따르는
сле́дующее [슬례두유시예예] 따르기
оши́бка [아쉬이브까] error
погре́шность [빠그례쉬나스뜨] error
грех [그례흐] 죄 sin
брандма́уэр [브란드마우에르] 방화벽
файрво́л [파이르볼] 방화벽
лихора́дка [리하라드까] 열 fever
жар [쥐아르] 열 fever
календа́рь [깔롄다르] 달력
фо́то [포따] 사진
фотогра́фия [파따그라피야] 사진
альбо́м [알봄] 앨범
пого́да [빠고다] 날씨
год [곡드] year
часы́ [차싀] 시계
телефо́н [뗼례폰] 전화
по́чта [뽀츠따] 우체국
электро́нная по́чта : Email
текст [뗵스뜨] text
те́кстовый [뗵스따븨이] 텍스트의
сообще́ние [사압시예니예] 메시지
обще́ние [압시예니예] communication
посла́нник [빠슬란닉] 메신저
посы́льный [빠싈늬이] 메신저
моби́льный [마빌늬이] 모바일
подвижно́й [빠드비쥐노이] 모바일
передвижно́й [뼤례드비쥐노이] 모바일
движе́ние [드비쥐예니예] 움직임
